Date,Description,Amount
2025-04-24,Interest,537
2025-04-24,Movie,-384
2025-04-25,Uber,-168
2025-04-26,Internet,-731
2025-04-27,Netflix,-566
2025-04-27,Rent,-11167
2025-04-28,Spotify,-281
2025-04-29,Salary Bonus,14132
2025-04-30,Freelance,3887
2025-04-30,Medical,-3245
2025-05-03,Bus,-65
2025-05-04,Electricity Bill,-1858
2025-05-05,Swiggy,-155
2025-05-05,Water Bill,-921
2025-05-10,Shopping,-5943
2025-05-10,Zomato,-260
2025-05-10,Internet,-1365
2025-05-11,Shopping,-1498
2025-05-12,Water Bill,-915
2025-05-14,Shopping,-2866
2025-05-16,Movie,-467
2025-05-16,Salary,66884
2025-05-16,Salary,64626
2025-05-17,Freelance,7010
2025-05-18,Lottery Win,150000
2025-05-18,Zomato,-513
2025-05-19,Uber,-116
2025-05-19,Salary Bonus,10138
2025-05-19,Salary Bonus,10733
2025-05-20,Movie,-675
2025-05-21,Zomato,-849
2025-05-21,Amazon,-2829
2025-05-22,Netflix,-320
2025-05-22,Cashback,238
2025-05-22,Uber,-404
2025-05-23,Water Bill,-499
2025-05-24,Medical,-958
2025-05-24,Movie,-576
2025-05-24,Salary,48665
2025-05-26,Swiggy,-613
2025-05-26,Cashback,181
2025-05-28,Electricity Bill,-3216
2025-05-28,Electricity Bill,-2457
2025-05-28,Groceries,-2547
2025-05-29,Movie,-230
2025-05-30,Cashback,30
2025-05-30,Groceries,-3018
2025-05-31,Water Bill,-1193
2025-05-31,Metro,-192
2025-06-01,Refund,25000
2025-06-02,Swiggy,-460
2025-06-02,Restaurant,-333
2025-06-04,Salary,63390
2025-06-04,Electricity Bill,-2096
2025-06-05,Rent,-16599
2025-06-05,Electricity Bill,-2874
2025-06-06,Swiggy,-234
2025-06-07,Coffee,-196
2025-06-08,Swiggy,-271
2025-06-09,Metro,-244
2025-06-09,Uber,-356
2025-06-10,Movie,-530
2025-06-12,Movie,-557
2025-06-13,Zomato,-875
2025-06-16,Salary Bonus,5508
2025-06-16,Metro,-36
2025-06-18,Coffee,-83
2025-06-20,Crypto Purchase,-60000
2025-06-20,Medical,-2164
2025-06-20,Spotify,-140
2025-06-20,Zomato,-538
2025-06-21,Shopping,-6245
2025-06-21,Cashback,180
2025-06-22,Rent,-12707
2025-06-23,Freelance,11935
2025-06-23,Groceries,-1534
2025-06-23,Freelance,5851
2025-06-24,Metro,-58
2025-06-24,Medical,-1058
2025-06-25,Freelance,6228
2025-06-26,Electricity Bill,-2224
2025-06-28,Freelance,10973
2025-06-29,Interest,246
2025-06-29,Metro,-143
